127.0.0.1,2014-09-29 11:54:29,
127.0.0.1,2014-09-29 11:55:06,
127.0.0.1,2014-09-29 11:55:07,
127.0.0.1,2014-09-29 11:55:07,
127.0.0.1,2014-09-29 11:55:08,
127.0.0.1,2014-09-29 11:55:08,
127.0.0.1,2014-09-29 11:55:09,
127.0.0.1,2014-09-29 11:55:16,
127.0.0.1,2014-09-29 11:55:17,
127.0.0.1,2014-09-29 11:55:17,
127.0.0.1,2014-09-29 11:55:17,
127.0.0.1,2014-09-29 11:55:18,
127.0.0.1,2014-09-29 11:55:18,
127.0.0.1,2014-09-29 11:56:13,
127.0.0.1,2014-09-29 11:56:14,
127.0.0.1,2014-09-29 11:56:15,
127.0.0.1,2014-09-29 11:56:26,
127.0.0.1,2014-09-29 11:56:26,
127.0.0.1,2014-09-29 11:56:27,
127.0.0.1,2014-09-29 11:56:49,
127.0.0.1,2014-09-29 11:56:50,
127.0.0.1,2014-09-29 11:58:54,
127.0.0.1,2014-09-29 11:59:20,
127.0.0.1,2014-09-29 11:59:33,
